1,11
2,181
3,146
4,128
5,180
6,190
7,158
8,99
9,33
10,17
11,184
12,42
13,131
14,21
15,182
16,25
17,170
18,187
19,167
20,163
21,27
22,34
23,5
24,6
25,139
26,147
27,60
28,49
29,173
30,137
31,132
32,2
33,76
34,68
35,142
36,143
37,66
38,3
39,56
40,127
41,118
42,94
43,159
44,16
45,113
46,145
47,119
48,156
49,178
50,140
51,20
52,194
53,32
54,29
55,91
56,104
57,197
58,117
59,61
60,82
61,196
62,46
63,141
64,23
65,106
66,188
67,150
68,39
69,186
70,162
71,19
72,130
73,79
74,7
75,161
76,80
77,136
78,144
79,28
80,77
81,168
82,116
83,177
84,175
85,18
86,125
87,124
88,120
89,72
90,169
91,154
92,179
93,22
94,8
95,38
96,53
97,100
98,110
99,153
100,123
101,45
102,148
103,199
104,122
105,90
106,111
107,103
108,198
109,70
110,54
111,121
112,192
113,62
114,134
115,193
116,30
117,12
118,166
119,160
120,63
121,171
122,108
123,107
124,86
125,81
126,43
127,44
128,41
129,155
130,126
131,24
132,87
133,115
134,176
135,96
136,112
137,174
138,55
139,151
140,129
141,57
142,191
143,185
144,138
145,59
146,26
147,9
148,149
149,35
150,135
151,65
152,52
153,13
154,48
155,93
156,47
