Title,Media URL,Pinterest board,Thumbnail,Description,Link,Publish date,Keywords
Seed Phrase: Visual Knowledge Card,https://veda.ng/images/glossary/seed-phrase.svg,Web3 & Blockchain Guide,,"Seed Phrase explained clearly. A seed phrase, also called a recovery phrase or mnemonic phrase, is a sequence of 12 or 24 randomly generated words that serves as the master backup for a cryptocurrency wallet. The seed phrase encodes the cryptographic root from which all private keys and addresses in a wallet are derived. Anyone who possesses the seed phrase has complete, irrevocable control of all assets in that wallet. There is no 'forgot my password' button in crypto. No co... Read more on the glossary.",https://veda.ng/glossary/seed-phrase,,"seed phrase, web3, web3, blockchain, crypto, glossary, definition, seed, phrase"
Maximal Extractable Value (MEV): Visual Knowledge Card,https://veda.ng/images/glossary/mev.svg,Web3 & Blockchain Guide,,"Maximal Extractable Value (MEV) explained clearly. Maximal Extractable Value is the profit that block producers (validators or miners) can extract by strategically ordering, inserting, or censoring transactions within the blocks they produce. When you submit a transaction to a blockchain, it enters a public mempool where it waits to be included in a block. Anyone can see pending transactions before they are confirmed, creating opportunities for exploitation. Front-running is... Read more on the glossary.",https://veda.ng/glossary/mev,,"maximal extractable value (mev), web3, web3, blockchain, crypto, glossary, definition, maximal, extractable, value"
DePIN: Visual Knowledge Card,https://veda.ng/images/glossary/depin.svg,Web3 & Blockchain Guide,,"DePIN explained clearly. Decentralized Physical Infrastructure Networks are blockchain projects that incentivize individuals to deploy and operate real-world physical hardware by rewarding them with tokens. Instead of a centralized company building and owning infrastructure, DePIN projects crowdsource it. Helium is the canonical example: individuals buy hotspots, install them at home or in their businesses, provide wireless network coverage, and earn tokens in return. The res... Read more on the glossary.",https://veda.ng/glossary/depin,,"depin, web3, web3, blockchain, crypto, glossary, definition, depin"
Restaking: Visual Knowledge Card,https://veda.ng/images/glossary/restaking.svg,Web3 & Blockchain Guide,,"Restaking explained clearly. Restaking is a mechanism that allows ETH stakers to reuse their staked ETH as cryptoeconomic security for additional protocols beyond Ethereum itself. Normally, when you stake ETH, that stake secures the Ethereum network and earns staking rewards. Restaking, pioneered by EigenLayer, allows the same staked ETH to simultaneously secure other services like oracle networks, data availability layers, bridges, or new blockchains, earning additional rewa... Read more on the glossary.",https://veda.ng/glossary/restaking,,"restaking, web3, web3, blockchain, crypto, glossary, definition, restaking"
Airdrop: Visual Knowledge Card,https://veda.ng/images/glossary/airdrop.svg,Web3 & Blockchain Guide,,"Airdrop explained clearly. An airdrop is a token distribution method where a project sends free tokens directly to wallet addresses, typically as a reward for early users, community members, or holders of a related token. Airdrops serve multiple purposes. They distribute tokens broadly, advancing a project's goal of decentralization. They reward early adopters who took risk on an unproven protocol. They generate attention and bring new users into the ecosystem. The Uniswap ai... Read more on the glossary.",https://veda.ng/glossary/airdrop,,"airdrop, web3, web3, blockchain, crypto, glossary, definition, airdrop"
Tokenomics: Visual Knowledge Card,https://veda.ng/images/glossary/tokenomics.svg,Web3 & Blockchain Guide,,"Tokenomics explained clearly. Tokenomics is the economic design of a cryptocurrency or token system, the rules governing how tokens are created, distributed, used, and destroyed. It determines whether a token has sustainable value or is destined to inflate to zero. The supply side covers total supply, emission schedule, and inflation rate. A token with a fixed maximum supply, like Bitcoin's 21 million, has built-in scarcity. A token with unlimited inflation must have strong d... Read more on the glossary.",https://veda.ng/glossary/tokenomics,,"tokenomics, web3, web3, blockchain, crypto, glossary, definition, tokenomics"
Liquidity Pool: Visual Knowledge Card,https://veda.ng/images/glossary/liquidity-pool.svg,Web3 & Blockchain Guide,,"Liquidity Pool explained clearly. A liquidity pool is a smart contract holding reserves of two or more tokens, enabling decentralized trading without traditional order books. Instead of matching buyers with sellers, automated market makers use liquidity pools to execute trades algorithmically. Traders swap against the pool; the pool adjusts prices based on the ratio of its reserves. Liquidity providers deposit equal values of both tokens and earn trading fees proportional to... Read more on the glossary.",https://veda.ng/glossary/liquidity-pool,,"liquidity pool, web3, web3, blockchain, crypto, glossary, definition, liquidity, pool"
Yield Farming: Visual Knowledge Card,https://veda.ng/images/glossary/yield-farming.svg,Web3 & Blockchain Guide,,"Yield Farming explained clearly. Yield farming is the practice of deploying cryptocurrency across DeFi protocols to maximize returns through combinations of trading fees, interest, and token rewards. It emerged in 2020 during DeFi Summer when protocols began distributing governance tokens to liquidity providers, creating explosive APY opportunities that attracted billions in capital. The strategy involves finding the highest-yield opportunities across lending protocols, liqui... Read more on the glossary.",https://veda.ng/glossary/yield-farming,,"yield farming, web3, web3, blockchain, crypto, glossary, definition, yield, farming"
Flash Loan: Visual Knowledge Card,https://veda.ng/images/glossary/flash-loan.svg,Web3 & Blockchain Guide,,"Flash Loan explained clearly. A flash loan is an uncollateralized DeFi loan that must be borrowed and repaid within a single blockchain transaction. If the loan isn't repaid by the transaction's end, the entire transaction reverts as if it never happened. This creates zero counterparty risk for lenders, they either receive their funds back with fees, or nothing happens. Flash loans are powerful financial primitives. They enable arbitrage across DEXs without requiring capital:... Read more on the glossary.",https://veda.ng/glossary/flash-loan,,"flash loan, web3, web3, blockchain, crypto, glossary, definition, flash, loan"
Layer 1: Visual Knowledge Card,https://veda.ng/images/glossary/layer-1.svg,Web3 & Blockchain Guide,,"Layer 1 explained clearly. Layer 1 refers to the base blockchain protocol, the foundational network that provides security, consensus, and settlement finality. Bitcoin and Ethereum are Layer 1 networks. All transactions ultimately settle on the Layer 1, which is the source of truth. The security properties of Layer 1 come from its consensus mechanism and the economic value securing it. Ethereum's Layer 1 is secured by hundreds of billions of dollars in staked ETH, attacking i... Read more on the glossary.",https://veda.ng/glossary/layer-1,,"layer 1, web3, web3, blockchain, crypto, glossary, definition, layer"
Proof of Work: Visual Knowledge Card,https://veda.ng/images/glossary/proof-of-work.svg,Web3 & Blockchain Guide,,"Proof of Work explained clearly. Proof of Work is the original blockchain consensus mechanism, used by Bitcoin, that requires network participants to expend computational energy to add blocks to the chain. Miners compete to solve a cryptographic puzzle, finding a number that, when combined with block data and hashed, produces an output below a target threshold. This is computationally expensive but trivially verifiable by others. The miner who finds the solution first gets to... Read more on the glossary.",https://veda.ng/glossary/proof-of-work,,"proof of work, web3, web3, blockchain, crypto, glossary, definition, proof, work"
Proof of Stake: Visual Knowledge Card,https://veda.ng/images/glossary/proof-of-stake.svg,Web3 & Blockchain Guide,,"Proof of Stake explained clearly. Proof of Stake is a blockchain consensus mechanism where validators are chosen to propose and attest to blocks based on how much cryptocurrency they have staked as collateral, rather than through computational work. Validators lock up tokens as security deposits. If they act honestly, they earn rewards. If they attempt to cheat by double signing or proposing invalid blocks, their stake is slashed. Security comes from economic alignment rather... Read more on the glossary.",https://veda.ng/glossary/proof-of-stake,,"proof of stake, web3, web3, blockchain, crypto, glossary, definition, proof, stake"
Cold Wallet: Visual Knowledge Card,https://veda.ng/images/glossary/cold-wallet.svg,Web3 & Blockchain Guide,,"Cold Wallet explained clearly. A cold wallet is a cryptocurrency storage method where private keys are kept offline, completely disconnected from the internet. This is the highest-security method for holding cryptocurrency. Hardware wallets like Ledger and Trezor are the most common cold storage devices, small USB-like devices that generate and store private keys internally, never exposing them to the connected computer. When signing a transaction, the transaction details are... Read more on the glossary.",https://veda.ng/glossary/cold-wallet,,"cold wallet, web3, web3, blockchain, crypto, glossary, definition, cold, wallet"
Wrapped Token: Visual Knowledge Card,https://veda.ng/images/glossary/wrapped-token.svg,Web3 & Blockchain Guide,,"Wrapped Token explained clearly. A wrapped token is a cryptocurrency that represents another cryptocurrency on a different blockchain, maintaining a 1:1 peg with the original asset. Wrapped Bitcoin (WBTC) is the canonical example: Bitcoin holders deposit BTC with a custodian, who mints an equivalent amount of WBTC on Ethereum. WBTC holders can use Bitcoin's value in Ethereum's DeFi ecosystem by lending it, providing liquidity, or using it as collateral. When they want their B... Read more on the glossary.",https://veda.ng/glossary/wrapped-token,,"wrapped token, web3, web3, blockchain, crypto, glossary, definition, wrapped, token"
Yield: Visual Knowledge Card,https://veda.ng/images/glossary/yield.svg,Web3 & Blockchain Guide,,"Yield explained clearly. Yield in DeFi represents the returns earned from deploying capital into protocols, typically expressed as Annual Percentage Yield (APY), the annualized return accounting for compounding. Understanding yield sources is essential because not all yields are created equal and high advertised rates often mask unsustainable economics. Sustainable yield comes from economic activity: trading fees from AMM liquidity provision (you earn when traders swap throug... Read more on the glossary.",https://veda.ng/glossary/yield,,"yield, web3, web3, blockchain, crypto, glossary, definition, yield"
Impermanent Loss: Visual Knowledge Card,https://veda.ng/images/glossary/impermanent-loss.svg,Web3 & Blockchain Guide,,"Impermanent Loss explained clearly. Impermanent loss is the loss liquidity providers suffer when the price ratio of paired assets diverges from when they provided liquidity. Deposit 1 ETH and 1000 USDC at a $1000 ETH price. If ETH rises to $2000, the constant product formula forces the pool to maintain x * y = k. As prices diverge, you end up with more of the cheaper asset and less of the expensive asset. You might have 0.7 ETH and 1400 USDC. If you'd just held your original... Read more on the glossary.",https://veda.ng/glossary/impermanent-loss,,"impermanent loss, web3, web3, blockchain, crypto, glossary, definition, impermanent, loss"
Slashing: Visual Knowledge Card,https://veda.ng/images/glossary/slashing.svg,Web3 & Blockchain Guide,,"Slashing explained clearly. Slashing is an economic penalty mechanism in Proof of Stake blockchains that automatically confiscates a portion of a validator's staked tokens when they violate protocol rules, providing cryptoeconomic security through the threat of financial loss. The slashable offenses target behaviors that could compromise network integrity: double-signing (proposing or attesting to conflicting blocks at the same height), surround voting (making attestations th... Read more on the glossary.",https://veda.ng/glossary/slashing,,"slashing, web3, web3, blockchain, crypto, glossary, definition, slashing"
MEV Burn: Visual Knowledge Card,https://veda.ng/images/glossary/mev-burn.svg,Web3 & Blockchain Guide,,"MEV Burn explained clearly. MEV burn is a proposed mechanism that would destroy Maximum Extractable Value rather than allowing it to accrue to validators, block builders, or searchers, potentially reducing harmful MEV extraction behaviors like sandwich attacks by removing their profit motive. Under Ethereum's current architecture, skilled actors extract MEV through transaction ordering strategies: front-running arbitrage opportunities, sandwiching user trades, and liquidating... Read more on the glossary.",https://veda.ng/glossary/mev-burn,,"mev burn, web3, web3, blockchain, crypto, glossary, definition, burn"
Composability: Visual Knowledge Card,https://veda.ng/images/glossary/composability.svg,Web3 & Blockchain Guide,,"Composability explained clearly. Composability in DeFi is the property that allows smart contracts to interact with each other seamlessly, enabling complex financial operations to be built by combining simpler protocols like building blocks without requiring permission or custom integration. A contract can call another contract atomically: borrow from Aave, swap on Uniswap, provide liquidity on Curve, stake somewhere else, all in a single transaction that either completes ent... Read more on the glossary.",https://veda.ng/glossary/composability,,"composability, web3, web3, blockchain, crypto, glossary, definition, composability"
